标题,链接,时间（年份）,简介,种类
哈工大SCIR两位博士生景东、王宇轩顺利通过博士学位答辩,http://ir.hit.edu.cn/3714.html,2021/10/11,"2021年9月27日上午，哈工大社会计算与信息检索研究中心两位博士生景东、王宇轩顺利通过博士学位论文答辩。秦兵教授担任答辩委员会主席。

王宇轩博士论文题目为《中文语义依存图分析技术及应用研究》，导师为车万翔教授，研究方向为自然语言处理、依存分析、对抗学习。在攻读博士学位期间，他在国际顶级会议AAAI、EMNLP以及期刊JMLC上共以第一作者身份发表论文4篇，曾在爱丁堡大学进行访问交流。

祝福景东博士和王宇轩博士毕业后工作顺利并取得更大的成绩！",博士毕业
哈工大SCIR博士生徐俊顺利通过博士学位答辩,http://ir.hit.edu.cn/3704.html,2021/09/28,"2021年9月26日上午，哈工大社会计算与信息检索研究中心博士生徐俊顺利通过博士学位论文答辩。计算学部秦兵教授担任答辩委员会主席。

徐俊博士导师为王海峰教授，副导师为车万翔教授，研究方向为自然语言处理、开放域对话系统。徐俊博士论文题目为《主动式开放域知识型对话系统》。论文提出并完善了基于背景知识的主动式开放域对话管理方法，初步解决了开放域对话下缺乏知识内容以及主动规划能力弱的问题，显著提升了对话能力，为高效需求满足打下了坚实基础。研究成果已经在产业界得到应用。在攻读博士期间，以第一作者身份，在国际顶级会议ACL、AAAI、IJCAI，以及SCI期刊TALLIP上发表论文5篇。徐俊博士毕业后将就职于百度公司从事研发工作。

祝福徐俊博士毕业后工作顺利并取得更大的成绩！",博士毕业
哈工大SCIR 6篇主会/2篇Findings/1篇Demo 共9篇长文被EMNLP 2021录用,http://ir.hit.edu.cn/3677.html,2021/09/15,"EMNLP 2021（The 2021 Conference on Empirical Methods in Natural Language Processing）将于2021年11月7日至11日以在线会议的形式举办。EMNLP是计算语言学和自然语言处理领域顶级国际会议之一，CCF B类会议，由ACL SIGDAT（语言学数据特殊兴趣小组）主办，每年举办一次。

哈尔滨工业大学社会计算与信息检索研究中心有九篇长文被录用，其中六篇被主会录用，两篇被Findings of EMNLP子刊录用，一篇被EMNLP System Demonstrations录用。

LA组4篇",论文发表
第二届THUNLP & HIT-SCIR学术联谊会成功举办,http://ir.hit.edu.cn/3619.html,2021/06/07,2021年5月31日，清华大学自然语言处理与社会人文计算实验室（THUNLP）与哈尔滨工业大学社会计算与信息检索研究中心（HIT-SCIR）第二届学术联谊会于北京成功举办。清华THUNLP孙茂松、刘洋、刘知远以及哈工大SCIR刘挺、秦兵、车万翔、张伟男、丁效、冯骁骋、赵森栋等老师出席本次学术联谊会。,学术交流
哈工大SCIR博士生覃立波获得第八届百度奖学金,http://ir.hit.edu.cn/3597.html,2021/05/24,2021年5月20日，第八届百度奖学金颁奖典礼在北京隆重举行。第八届百度奖学金吸引了来自国内外知名高校的百余名申请者。通过对报名者的资格审核及学术和综合能力的评估，哈工大社会计算与信息检索研究中心(SCIR)博士生覃立波与其他九位来自清华大学、上海交通大学、斯坦福大学、麻省理工学院、卡内基梅隆大学等世界各地顶尖高校的博士生喜获第八届百度奖学金，分别获得百度颁发的20万元人民币奖学金。本次百度奖学金由百度CTO王海峰博士颁奖。,学生获奖
哈工大SCIR多位师生受邀参加第一届中国自然语言处理学生研讨会（CSSNLP 2020）,http://ir.hit.edu.cn/3509.html,2021/01/04,第一届中国自然语言处理学生研讨会顺利召开，我中心车万翔教授进行了题为“基于小样本学习的自然语言处理”的报告；我中心覃立波同学进行了题为“初探迁移学习在任务型对话系统中的应用”报告,学术交流
哈工大SCIR三篇长文被AAAI 2021录用,http://ir.hit.edu.cn/3499.html,2021/01/01,"2021年的首个人工智能顶级会议 AAAI 2021 将于美国纽约举办，时间在 2021年2 月 2 日至 9 日，本届大会将是第 35 届 AAAI 大会。

AAAI 的英文全称是 Association for the Advance of Artificial Intelligence。该协会是人工智能领域的主要学术组织之一，其主办的年会也是人工智能领域的国际顶级会议。在中国计算机学会的国际学术会议排名以及清华大学新发布的计算机科学推荐学术会议和期刊列表中，AAAI 均被列为人工智能领域的 A 类顶级会议。AAAI 2021官方发布接收论文列表，9034篇论文提交有1692篇论文接受，接受率21%。

哈尔滨工业大学社会计算与信息检索研究中心有三篇长文被录用",论文发表
哈工大SCIR六篇文章被COLING 2020录用,http://ir.hit.edu.cn/3466.html,2020/10/05,"COLING 2020, the 28th International Conference on Computational Linguistics将于2020年12月8日至13日在线举行。COLING是自然语言处理领域的重要国际会议，每两年举办一次。
哈尔滨工业大学社会计算与信息检索研究中心共有6篇论文被COLING 2020录用

LA1篇",论文发表
哈工大SCIR九篇长文被EMNLP 2020及子刊录用,http://ir.hit.edu.cn/3457.html,2020/10/05,"EMNLP 2020（2020 Conference on Empirical Methods in Natural Language Processing）将于2020年11月16日至20日以在线会议的形式举办。EMNLP是计算语言学和自然语言处理领域顶级国际会议之一，CCF B类会议，由ACL SIGDAT（语言学数据特殊兴趣小组）主办，每年举办一次。

EMNLP 2020共收到有效投稿3114篇，录用754篇，录用率为24.82%。此外，因为高质量的论文越来越多超出了EMNLP会议本身所能容纳的范围，今年EMNLP新增了Findings of EMNLP这一子刊，它将接纳那些未被主会录用但是被程序委员会评价为值得出版的文章，此次Findings of EMNLP共接收了520篇文章。EMNLP 2020接收的论文覆盖了对话交互系统、信息抽取、信息检索和文档分析、词法语义、语言学理论、认知建模和心理语言学、用于NLP的机器学习、机器翻译与多语言、问答、句子级语义学、情感分析和论点挖掘、文本挖掘和NLP应用、文本推理等自然语言处理领域众多研究方向。

哈尔滨工业大学社会计算与信息检索研究中心有九篇长文被录用

LA4篇",论文发表
LTP 4.0！单模型完成6项自然语言处理任务,http://ir.hit.edu.cn/3375.html,2020/06/15,"语言技术平台（Language Technology Platform, LTP）是哈工大社会计算与信息检索研究中心（HIT-SCIR）历时多年研发的一整套高效、高精度的中文自然语言处理开源基础技术平台。该平台集词法分析（分词、词性标注、命名实体识别）、句法分析（依存句法分析）和语义分析（语义角色标注、语义依存分析）等多项自然语言处理技术于一体。其中句法分析、语义分析等多项关键技术多次在CoNLL国际评测中获得了第1名。此外，平台还荣获了2010年中国中文信息学会科学技术一等奖、2016年黑龙江省科技进步一等奖。国内外众多研究单位和知名企业通过签署协议以及收费授权的方式使用该平台。

哈工大SCIR本科生冯云龙等同学在车万翔教授指导下，于近日对LTP进行了新一轮的全面升级，并推出了LTP 4.0版本。",工程项目
